timestamp,prediction,raw_data
2025-12-21 06:52:47,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.095618,3160.9535217285156,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15818.011766480615,63.21907043457032,121.29365004359174,604.1526794433594,0.0,3160.9535217285156,64.5092555454799,122.20347720212693,604.1526794433594,19.788742065429688,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,15818.011766480615,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,3160.9535217285156,0.0,3160.9535217285156,3160.9535217285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3160.9535217285156"
2025-12-21 06:52:48,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.099166,2797.842025756836,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17870.916063059223,55.95684051513672,21.54207443716462,130.17654418945312,0.0,2797.842025756836,57.098816852180335,20.178329028089507,130.17654418945312,25.510787963867188,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,17870.916063059223,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,2797.842025756836,0.0,2797.842025756836,2797.842025756836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2797.842025756836"
2025-12-21 06:52:48,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.102318,2402.067184448242,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20815.40446650124,48.041343688964844,10.900970925955134,81.30073547363281,0.0,2402.067184448242,49.021779274453905,8.49957724797831,81.30073547363281,41.72325134277344,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,20815.40446650124,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,2402.067184448242,0.0,2402.067184448242,2402.067184448242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2402.067184448242"
2025-12-21 06:52:48,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.105117,4144.906997680664,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12062.996836353179,82.89813995361331,52.174990073208804,261.7835998535156,0.0,4144.906997680664,84.58993872817683,51.31132535977406,261.7835998535156,27.418136596679688,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,12062.996836353179,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,4144.906997680664,0.0,4144.906997680664,4144.906997680664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4144.906997680664"
2025-12-21 06:52:48,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.109952,3478.0502319335938,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14375.870578557719,69.56100463867185,34.57146777280948,195.02639770507812,0.0,3478.0502319335938,70.98061697823661,33.42486904345915,195.02639770507812,28.6102294921875,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,14375.870578557719,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,3478.0502319335938,0.0,3478.0502319335938,3478.0502319335938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3478.0502319335938"
2025-12-21 06:52:48,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.113997,2099.5140075683594,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23815.035203270498,41.99028015136719,17.443713652242796,116.82510375976562,0.0,2099.5140075683594,42.84722464425222,16.52693961547449,116.82510375976562,23.126602172851562,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,23815.035203270498,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,2099.5140075683594,0.0,2099.5140075683594,2099.5140075683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2099.5140075683594"
2025-12-21 06:52:48,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.116744,5574.226379394531,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8969.854576561163,111.4845275878906,339.09338300700796,2434.968948364258,0.0,5574.226379394531,113.75972202845976,342.22158235712993,2434.968948364258,26.702880859375,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,8969.854576561163,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,5574.226379394531,0.0,5574.226379394531,5574.226379394531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5574.226379394531"
2025-12-21 06:52:48,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.122776,4890.918731689453,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10223.028175879886,97.81837463378906,244.80581420779393,1787.1856689453125,0.0,4890.918731689453,99.81466799366231,246.93119563956782,1787.1856689453125,32.4249267578125,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,10223.028175879886,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,4890.918731689453,0.0,4890.918731689453,4890.918731689453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4890.918731689453"
2025-12-21 06:52:48,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.128165,2031.8031311035156,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24608.683407650788,40.636062622070305,29.66391909180852,196.93374633789062,0.0,2031.8031311035156,41.46537002252073,29.37986389714201,196.93374633789062,27.894973754882812,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,24608.683407650788,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,2031.8031311035156,0.0,2031.8031311035156,2031.8031311035156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2031.8031311035156"
2025-12-21 06:52:48,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.130602,4407.167434692383,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11345.155531512037,88.14334869384766,326.9401219409889,2340.555191040039,0.0,4407.167434692383,89.94219254474251,330.0781005233485,2340.555191040039,28.371810913085938,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,11345.155531512037,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,4407.167434692383,0.0,4407.167434692383,4407.167434692383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4407.167434692383"
2025-12-21 06:52:48,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.135378,4427.194595336914,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11293.833809036567,88.54389190673828,264.0640835525615,1898.7655639648438,0.0,4427.194595336914,90.35091010891661,266.4880449820833,1898.7655639648438,26.941299438476562,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,11293.833809036567,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,4427.194595336914,0.0,4427.194595336914,4427.194595336914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4427.194595336914"
2025-12-21 06:52:48,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.140153,2928.2569885253906,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17075.00407099821,58.565139770507805,154.63265447967598,1123.666763305664,0.0,2928.2569885253906,59.76034670459981,156.00158657597464,1123.666763305664,25.033950805664062,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,17075.00407099821,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,2928.2569885253906,0.0,2928.2569885253906,2928.2569885253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2928.2569885253906"
2025-12-21 06:52:48,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.144204,3083.7059020996094,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16214.256997062008,61.674118041992195,31.56016299219814,249.38583374023438,0.0,3083.7059020996094,62.93277351223692,30.593036794311224,249.38583374023438,25.987625122070312,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,16214.256997062008,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,3083.7059020996094,0.0,3083.7059020996094,3083.7059020996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3083.7059020996094"
2025-12-21 06:52:49,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.147698,4225.730895996094,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11832.272624689685,84.51461791992188,98.57127972072495,641.8228149414062,0.0,4225.730895996094,86.23940604073661,98.82750878552183,641.8228149414062,29.325485229492188,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,11832.272624689685,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,4225.730895996094,0.0,4225.730895996094,4225.730895996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4225.730895996094"
2025-12-21 06:52:49,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.152380,4283.666610717773,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11672.24355763344,85.67333221435544,112.91458793777917,772.7146148681641,0.0,4283.666610717773,87.42176756566884,113.39879759001569,772.7146148681641,29.087066650390625,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,11672.24355763344,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,4283.666610717773,0.0,4283.666610717773,4283.666610717773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4283.666610717773"
2025-12-21 06:52:49,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.157140,3576.993942260742,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13978.217689795374,71.53987884521482,64.92051789487215,283.24127197265625,0.0,3576.993942260742,72.99987637266821,64.75862333693578,283.24127197265625,28.6102294921875,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,13978.217689795374,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,3576.993942260742,0.0,3576.993942260742,3576.993942260742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3576.993942260742"
2025-12-21 06:52:49,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.161234,5149.602890014648,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9709.486550303254,102.99205780029297,255.86780685579524,1803.1597137451172,0.0,5149.602890014648,105.09393653091118,258.08285789519545,1803.1597137451172,27.418136596679688,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,9709.486550303254,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,5149.602890014648,0.0,5149.602890014648,5149.602890014648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5149.602890014648"
2025-12-21 06:52:49,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.166835,4034.757614135742,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12392.318146900669,80.69515228271484,51.680828259529214,344.0380096435547,0.0,4034.757614135742,82.34199212521924,50.873595983114136,344.0380096435547,37.90855407714844,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,12392.318146900669,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,4034.757614135742,0.0,4034.757614135742,4034.757614135742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4034.757614135742"
2025-12-21 06:52:49,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.171395,4357.099533081055,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11475.523939808481,87.14199066162107,29.422233868222158,201.70211791992188,0.0,4357.099533081055,88.92039863430723,26.875106161264416,201.70211791992188,55.55152893066406,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,11475.523939808481,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,4357.099533081055,0.0,4357.099533081055,4357.099533081055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4357.099533081055"
2025-12-21 06:52:49,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.176351,4314.184188842773,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11589.67670627245,86.28368377685545,50.56346933492636,202.65579223632812,0.0,4314.184188842773,88.0445752825056,49.514254436659165,202.65579223632812,28.371810913085938,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,11589.67670627245,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,4314.184188842773,0.0,4314.184188842773,4314.184188842773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4314.184188842773"
2025-12-21 06:52:49,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.181214,3277.0633697509766,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15257.562750090941,65.54126739501955,69.78617609480288,341.65382385253906,0.0,3277.0633697509766,66.87884428063218,69.85879867435278,341.65382385253906,23.84185791015625,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,15257.562750090941,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,3277.0633697509766,0.0,3277.0633697509766,3277.0633697509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3277.0633697509766"
2025-12-21 06:52:49,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.184999,4472.7325439453125,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11178.848614072494,89.45465087890622,52.360023037562186,355.9589385986328,0.0,4472.7325439453125,91.28025599888394,51.26962737570419,355.9589385986328,34.09385681152344,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,11178.848614072494,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,4472.7325439453125,0.0,4472.7325439453125,4472.7325439453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4472.7325439453125"
2025-12-21 06:52:49,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.190021,4172.086715698242,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11984.410537745014,83.44173431396486,39.827030754426055,261.3067626953125,0.0,4172.086715698242,85.14462685098455,38.356553988264835,261.3067626953125,55.3131103515625,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,11984.410537745014,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,4172.086715698242,0.0,4172.086715698242,4172.086715698242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4172.086715698242"
2025-12-21 06:52:49,DDoS,"172.16.252.248-172.16.251.250-0-80-6,172.16.252.248,0,172.16.251.250,80,6,2025-12-21 06:52:44.194670,3454.2083740234375,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14475.096631695196,69.08416748046875,24.54000976746489,178.81393432617188,0.0,3454.2083740234375,70.4940484494579,22.65611085728202,178.81393432617188,38.38539123535156,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,14475.096631695196,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,3454.2083740234375,0.0,3454.2083740234375,3454.2083740234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3454.2083740234375"
